,r1,r2,v
893,1.41,9.11,-0.0
894,1.41,9.21,0.0
895,1.41,9.31,0.0
896,1.41,9.41,0.0
897,1.41,9.51,0.0
898,1.41,9.61,0.0
899,1.41,9.71,0.0
900,1.41,9.81,0.0
901,1.41,9.91,1e-05
902,1.41,10.01,1e-05
903,1.41,10.11,1e-05
904,1.41,10.21,1e-05
905,1.41,10.31,1e-05
906,1.41,10.41,1e-05
907,1.41,10.51,1e-05
909,1.51,0.61,0.47832
910,1.51,0.71,0.32694
911,1.51,0.81,0.22729
912,1.51,0.91,0.15998
913,1.51,1.01,0.1139
914,1.51,1.11,0.08221
915,1.51,1.21,0.06037
916,1.51,1.31,0.04535
917,1.51,1.41,0.03505
918,1.51,1.51,0.02799
919,1.51,1.61,0.02314
920,1.51,1.71,0.01977
921,1.51,1.81,0.01737
922,1.51,1.91,0.0156
923,1.51,2.01,0.01422
924,1.51,2.11,0.01308
925,1.51,2.21,0.01208
926,1.51,2.31,0.01117
927,1.51,2.41,0.01032
928,1.51,2.51,0.00951
929,1.51,2.61,0.00873
930,1.51,2.71,0.00798
931,1.51,2.81,0.00727
932,1.51,2.91,0.00659
933,1.51,3.01,0.00596
934,1.51,3.11,0.00537
935,1.51,3.21,0.00484
936,1.51,3.31,0.00436
